Date,Open,High,Low,Close,Volume,Adjustment Factor,Adjustment Type
2018-12-31,38.194011,38.39157,37.70734,38.003679,36521072.0,,
2018-12-28,37.941038,38.189192,37.235125,37.639881,36163028.0,,
2018-12-27,37.615788,37.755525,36.155776,37.620606,58483584.0,,
2018-12-26,35.705244,37.880807,35.353492,37.866351,62186152.0,,
2018-12-25,35.375175,35.375175,35.375175,35.375175,0.0,,
2018-12-24,35.693198,36.507528,35.317353,35.375175,41095792.0,,
2018-12-21,37.548329,38.102459,36.049768,36.314787,170784508.0,,
2018-12-20,38.593948,39.054117,37.415819,37.784436,63579352.0,,
2018-12-19,39.993728,40.340662,38.340975,38.762596,57545032.0,,
2018-12-18,39.870856,40.362345,39.608247,40.010593,36660592.0,,
2018-12-17,39.853991,40.557495,39.2059,39.497421,51598472.0,,
2018-12-14,40.716507,40.735781,39.822671,39.868447,46297488.0,,
2018-12-13,41.06344,41.574203,40.856244,41.186312,28483908.0,,
2018-12-12,41.053803,41.417601,40.721325,40.740599,33685492.0,,
2018-12-11,41.364598,41.383872,40.234654,40.627364,41408632.0,,
2018-12-10,39.752802,40.979116,39.446826,40.861062,60513688.0,,
2018-12-07,41.788628,42.039191,40.550268,40.593634,51870180.0,,
2018-12-06,41.376644,42.10665,41.061031,42.094604,48781912.0,,
2018-12-05,42.569228,42.569228,42.569228,42.569228,0.0,,
2018-12-04,43.607619,43.940097,42.468039,42.569228,47728320.0,,
2018-12-03,44.438814,44.556868,43.660623,44.527957,44722648.0,,
2018-11-30,43.446199,43.446199,42.651143,43.024578,48621432.0,,
2018-11-29,44.024422,44.041286,42.812563,43.258277,36929384.0,,
2018-11-28,42.581274,43.667851,42.145198,43.593164,47555876.0,,
2018-11-27,41.314003,42.101831,41.174266,41.978959,37953572.0,,
2018-11-26,41.964504,42.150017,41.022483,42.070511,43371204.0,,
2018-11-23,42.152426,42.540317,41.473014,41.509153,22728944.0,,
2018-11-22,42.590911,42.590911,42.590911,42.590911,0.0,,
2018-11-21,43.260686,43.431743,42.535498,42.590911,32545068.0,,
2018-11-20,42.896888,43.720855,42.289754,42.639097,68823200.0,,
2018-11-19,45.775954,45.944602,44.568914,44.77852,44191844.0,,
2018-11-16,45.903645,46.966129,45.648263,46.626423,43268308.0,,
2018-11-15,45.404928,46.248169,45.029083,46.11566,51295940.0,,
2018-11-14,46.696292,46.855303,44.795385,45.004991,55479224.0,,
2018-11-13,46.190347,47.505803,46.130115,46.313219,42091164.0,,
2018-11-12,47.946698,48.149076,46.689064,46.780616,55188744.0,,
2018-11-09,49.522355,49.633181,48.729708,49.262154,38622076.0,,
2018-11-08,50.604113,50.623387,49.811466,50.230677,26183992.0,0.996523,17.0
2018-11-07,49.458204,50.418558,49.01164,50.406553,37538992.0,,
2018-11-06,48.454635,49.14849,48.423423,48.922807,33401336.0,,
2018-11-05,49.071662,49.071662,47.578312,48.399414,60693300.0,,
2018-11-02,50.310518,51.292479,49.323755,49.813535,93878844.0,,
2018-11-01,52.586556,53.38605,52.053559,53.352438,58241496.0,,
2018-10-31,52.094374,52.927481,52.012744,52.545741,45302564.0,,
2018-10-30,50.694659,51.662215,50.243293,51.210849,44735716.0,,
2018-10-29,52.62497,52.742613,49.686288,50.956356,50486120.0,,
2018-10-26,51.854286,52.862657,51.059594,51.931114,49276572.0,,
